id;nombre;marca;precio;cantidad;costo
1;Automotive;bus;1695;13649;63610
2;Canada synergy;auxiliary Toys;66434;40660;18794
3;Inlet Fish Place;Paradigm;55511;87383;20223
4;Car Berkshire sensor;Fully-configurable Dirham;43298;47461;33671
5;auxiliary superstructure;one-to-one;20160;77863;76408
6;tolerance;connect;11734;94027;51594
7;neural Hat orchid;exploit AGP Lead;63382;90452;78372
8;Analyst Games Steel;deliverables explicit process;35299;20156;71392
9;Portugal Industrial;CSS Steel;18834;42336;4769
10;Configuration bottom-line Direct;program;47227;44824;94981
