id;mensajero;fecha_venta;comision_mensajeria
1;invoice holistic Kong;2022-07-07T15:21:59;98090
2;Micronesia Centralized applications;2022-07-07T09:57:39;7523
3;Zloty XML Fiji;2022-07-07T12:54:58;4254
4;Tactics Fantastic Borders;2022-07-06T19:27:28;57344
5;Berkshire;2022-07-07T05:33:23;21448
6;Rubber encoding;2022-07-06T23:27:29;48040
7;back JSON groupware;2022-07-07T02:20:24;41889
8;SDD Loan;2022-07-06T17:50:49;85766
9;Franc Burg Internal;2022-07-07T06:30:20;44142
10;firmware mobile Nauru;2022-07-07T08:01:18;89010
